"filename", "language", "JSON", "Dart", "C++", "YAML", "Markdown", "XML", "HTML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\main.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 57
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\announcement_model.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\cities.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 87
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\comment_model.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\community_model.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\contribution_model.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 55
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\date_model.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\dodder_model.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 32
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\event_model.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\group_model.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 69
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\interest_model.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\invitation_model.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 44
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\notification_mdel.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 56
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\podcast_model.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 55
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\post_model.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\story_model.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\user_model.dart", "Dart", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 168
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\model\youtube_video_model.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\announcement_provider.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 79
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\auth_provider.dart", "Dart", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 279
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\collections_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\comment_provider.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
