Date : 2021-09-29 16:58:06
Directory : d:\Software\Flutter\dodact_v1
Total : 232 files,  22666 codes, 1652 comments, 2084 blanks, all 26402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Software\Flutter\dodact_v1\lib\config\constants\route_constants.dart                                        | Dart       |         55 |          4 |         13 |         72 |
| d:\Software\Flutter\dodact_v1\lib\config\constants\theme_constants.dart                                        | Dart       |         59 |          4 |         16 |         79 |
| d:\Software\Flutter\dodact_v1\lib\config\navigation\navigation_service.dart                                    | Dart       |         32 |          0 |         12 |         44 |
| d:\Software\Flutter\dodact_v1\lib\config\navigation\navigator_route_service.dart                               | Dart       |        227 |         11 |         47 |        285 |
| d:\Software\Flutter\dodact_v1\lib\config\navigation\routes.dart                                                | Dart       |          0 |          0 |          1 |          1 |
| d:\Software\Flutter\dodact_v1\lib\locator.dart                                                                 | Dart       |         44 |          0 |         13 |         57 |
| d:\Software\Flutter\dodact_v1\lib\main.dart                                                                    | Dart       |         48 |          3 |          6 |         57 |
| d:\Software\Flutter\dodact_v1\lib\model\announcement_model.dart                                                | Dart       |         30 |          0 |          6 |         36 |
| d:\Software\Flutter\dodact_v1\lib\model\cities.dart                                                            | Dart       |         84 |          1 |          2 |         87 |
| d:\Software\Flutter\dodact_v1\lib\model\comment_model.dart                                                     | Dart       |         21 |          0 |          5 |         26 |
| d:\Software\Flutter\dodact_v1\lib\model\community_model.dart                                                   | Dart       |          1 |          0 |          0 |          1 |
| d:\Software\Flutter\dodact_v1\lib\model\contribution_model.dart                                                | Dart       |         43 |          3 |          9 |         55 |
| d:\Software\Flutter\dodact_v1\lib\model\date_model.dart                                                        | Dart       |          4 |          0 |          1 |          5 |
| d:\Software\Flutter\dodact_v1\lib\model\dodder_model.dart                                                      | Dart       |         20 |          3 |          9 |         32 |
| d:\Software\Flutter\dodact_v1\lib\model\event_model.dart                                                       | Dart       |        100 |          0 |          7 |        107 |
| d:\Software\Flutter\dodact_v1\lib\model\group_model.dart                                                       | Dart       |         61 |          1 |          7 |         69 |
| d:\Software\Flutter\dodact_v1\lib\model\interest_model.dart                                                    | Dart       |         19 |          0 |          5 |         24 |
| d:\Software\Flutter\dodact_v1\lib\model\invitation_model.dart                                                  | Dart       |         28 |          7 |          9 |         44 |
| d:\Software\Flutter\dodact_v1\lib\model\notification_mdel.dart                                                 | Dart       |         45 |          3 |          8 |         56 |
| d:\Software\Flutter\dodact_v1\lib\model\podcast_model.dart                                                     | Dart       |         43 |          3 |          9 |         55 |
| d:\Software\Flutter\dodact_v1\lib\model\post_model.dart                                                        | Dart       |         80 |          0 |          9 |         89 |
| d:\Software\Flutter\dodact_v1\lib\model\request_model.dart                                                     | Dart       |         45 |          3 |          9 |         57 |
| d:\Software\Flutter\dodact_v1\lib\model\story_model.dart                                                       | Dart       |         21 |          0 |          5 |         26 |
| d:\Software\Flutter\dodact_v1\lib\model\user_model.dart                                                        | Dart       |        150 |          1 |         12 |        163 |
| d:\Software\Flutter\dodact_v1\lib\model\youtube_video_model.dart                                               | Dart       |         47 |          0 |          7 |         54 |
| d:\Software\Flutter\dodact_v1\lib\provider\announcement_provider.dart                                          | Dart       |         65 |          1 |         13 |         79 |
| d:\Software\Flutter\dodact_v1\lib\provider\auth_provider.dart                                                  | Dart       |        248 |          1 |         30 |        279 |
| d:\Software\Flutter\dodact_v1\lib\provider\collections_provider.dart                                           | Dart       |          0 |          0 |          1 |          1 |
| d:\Software\Flutter\dodact_v1\lib\provider\comment_provider.dart                                               | Dart       |         40 |          0 |          7 |         47 |
| d:\Software\Flutter\dodact_v1\lib\provider\contribution_provider.dart                                          | Dart       |         59 |          0 |          9 |         68 |
| d:\Software\Flutter\dodact_v1\lib\provider\event_provider.dart                                                 | Dart       |        200 |          6 |         24 |        230 |
| d:\Software\Flutter\dodact_v1\lib\provider\group_provider.dart                                                 | Dart       |        206 |          6 |         23 |        235 |
| d:\Software\Flutter\dodact_v1\lib\provider\invitation_provider.dart                                            | Dart       |         82 |          4 |         12 |         98 |
| d:\Software\Flutter\dodact_v1\lib\provider\notification_provider.dart                                          | Dart       |          2 |          0 |          2 |          4 |
| d:\Software\Flutter\dodact_v1\lib\provider\podcast_provider.dart                                               | Dart       |         29 |          0 |          5 |         34 |
| d:\Software\Flutter\dodact_v1\lib\provider\post_provider.dart                                                  | Dart       |        213 |          9 |         34 |        256 |
| d:\Software\Flutter\dodact_v1\lib\provider\request_provider.dart                                               | Dart       |         34 |          0 |          6 |         40 |
| d:\Software\Flutter\dodact_v1\lib\provider\user_favorites_provider.dart                                        | Dart       |          4 |          1 |          3 |          8 |
| d:\Software\Flutter\dodact_v1\lib\provider\user_provider.dart                                                  | Dart       |        103 |          0 |         14 |        117 |
| d:\Software\Flutter\dodact_v1\lib\repository\announcement_repository.dart                                      | Dart       |         47 |          1 |         11 |         59 |
| d:\Software\Flutter\dodact_v1\lib\repository\auth_repository.dart                                              | Dart       |        108 |         16 |         17 |        141 |
| d:\Software\Flutter\dodact_v1\lib\repository\event_repository.dart                                             | Dart       |         88 |          1 |         14 |        103 |
| d:\Software\Flutter\dodact_v1\lib\repository\group_repository.dart                                             | Dart       |        126 |          0 |         18 |        144 |
| d:\Software\Flutter\dodact_v1\lib\repository\interest_repository.dart                                          | Dart       |          0 |          0 |          1 |          1 |
| d:\Software\Flutter\dodact_v1\lib\repository\invitation_repository.dart                                        | Dart       |         57 |          0 |         10 |         67 |
| d:\Software\Flutter\dodact_v1\lib\repository\podcast_repository.dart                                           | Dart       |         21 |          0 |          6 |         27 |
| d:\Software\Flutter\dodact_v1\lib\repository\post_repository.dart                                              | Dart       |        113 |          1 |         19 |        133 |
| d:\Software\Flutter\dodact_v1\lib\repository\user_favorites_repository.dart                                    | Dart       |         26 |          0 |          7 |         33 |
| d:\Software\Flutter\dodact_v1\lib\repository\user_repository.dart                                              | Dart       |         73 |         15 |         13 |        101 |
| d:\Software\Flutter\dodact_v1\lib\services\abstract\auth_base.dart                                             | Dart       |         14 |          1 |          2 |         17 |
| d:\Software\Flutter\dodact_v1\lib\services\abstract\database_base.dart                                         | Dart       |          9 |          0 |          2 |         11 |
| d:\Software\Flutter\dodact_v1\lib\services\abstract\storage_base.dart                                          | Dart       |          0 |          0 |          1 |          1 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\dynamic_link_service.dart                                  | Dart       |          0 |          0 |          1 |          1 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\fake_auth_service.dart                                     | Dart       |         57 |          0 |         13 |         70 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_announcement_service.dart                         | Dart       |         41 |          0 |          8 |         49 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_auth_service.dart                                 | Dart       |        117 |          4 |         22 |        143 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_comment_service.dart                              | Dart       |         32 |          0 |          8 |         40 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_contribution_service.dart                         | Dart       |         37 |          0 |         10 |         47 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_event_service.dart                                | Dart       |        146 |          3 |         22 |        171 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_group_service.dart                                | Dart       |        107 |          2 |         19 |        128 |
